nim,nama,prodi,IPK1,SKS1,IPK2,SKS2,IPK3,SKS3,IPK4,SKS4,IPK5,SKS5,IPK_1,SKS_1,IPK_2,SKS_2,IPK_3,SKS_3,IPK_4,SKS_4,IPK_5,SKS_5
1910131210004,MHSKOM19008,Pendidikan Komputer,2.61,21,2.91,37,3.35,54,3.3,75,3.36,97,-1.966397959,1.065093516,-1.464754145,-3.433515166,-0.298570256,-2.531917738,-0.451386234,-2.041722382,-0.295257513,-1.674269728
1910131210005,MHSKOM19009,Pendidikan Komputer,3.38,21,3.18,42,2.83,63,2.43,78,2.24,91,0.077894506,1.065093516,-0.68785897,-0.088362523,-1.945936874,-0.351253108,-3.192398427,-1.514861913,-3.696257377,-2.48177899
1910131210007,MHSKOM19010,Pendidikan Komputer,3.46,21,3.51,42,3.53,65,3.53,89,3.47,113,0.290288528,1.065093516,0.261679577,-0.088362523,0.271672035,0.133339032,0.273249173,0.416959805,0.038769259,0.479088304
1910131210008,MHSKOM19011,Pendidikan Komputer,3.5,21,3.46,42,3.47,63,3.55,85,3.51,109,0.396485539,1.065093516,0.1178101,-0.088362523,0.081591271,-0.351253108,0.336260948,-0.28552082,0.16023354,-0.059251204
1910131210009,MHSKOM19012,Pendidikan Komputer,3.76,21,3.71,42,3.58,63,3.54,84,3.41,107,1.086766112,1.065093516,0.837157484,-0.088362523,0.430072671,-0.351253108,0.304755061,-0.461140976,-0.143427162,-0.328420958
1910131210011,MHSKOM19013,Pendidikan Komputer,3.81,21,3.86,42,3.85,66,3.87,90,3.87,113,1.219512376,1.065093516,1.268765914,-0.088362523,1.285436107,0.375635102,1.34444934,0.592579961,1.253412068,0.479088304
1910131210016,MHSKOM19015,Pendidikan Komputer,3.64,21,3.52,42,3.52,63,3.5,87,3.36,110,0.768175078,1.065093516,0.290453472,-0.088362523,0.239991908,-0.351253108,0.178731511,0.065719492,-0.295257513,0.075333673
1910131210017,MHSKOM19016,Pendidikan Komputer,3.4,21,3.35,42,3.43,63,3.51,87,3.56,110,0.130993011,1.065093516,-0.198702749,-0.088362523,-0.045129238,-0.351253108,0.210237399,0.065719492,0.312063891,0.075333673
1910131220006,MHSKOM19018,Pendidikan Komputer,2.33,21,2.72,39,3.06,51,2.81,70,2.74,85,-2.709777037,1.065093516,-2.011458157,-2.095454109,-1.217293947,-3.258805948,-1.99517471,-2.919823162,-2.177953866,-3.289288253
1910131220010,MHSKOM19019,Pendidikan Komputer,3.43,21,3.23,42,3.21,65,3.33,84,3.33,106,0.21064077,1.065093516,-0.543989493,-0.088362523,-0.742092038,0.133339032,-0.356868572,-0.461140976,-0.386355724,-0.463005835
1910131220012,MHSKOM19020,Pendidikan Komputer,3.4,21,1.89,42,1.66,57,1.55,68,1.46,78,0.130993011,1.065093516,-4.399691472,-0.088362523,-5.652511765,-1.805029528,-5.964916506,-3.271063475,-6.064810853,-4.231382392
1910131220013,MHSKOM19021,Pendidikan Komputer,3.4,21,3.38,42,3.51,63,3.57,87,3.6,110,0.130993011,1.065093516,-0.112381063,-0.088362523,0.20831178,-0.351253108,0.399272722,0.065719492,0.433528172,0.075333673
1910131310003,MHSKOM19025,Pendidikan Komputer,2.5,21,2.9,39,3.15,53,3.22,72,3.25,94,-2.25843974,1.065093516,-1.49352804,-2.095454109,-0.932172801,-2.774213808,-0.703433332,-2.56858285,-0.629284285,-2.078024359
1910131310004,MHSKOM19026,Pendidikan Komputer,3.1,21,3.26,42,3.33,63,3.43,85,3.48,109,-0.665484572,1.065093516,-0.457667807,-0.088362523,-0.361930511,-0.351253108,-0.041809699,-0.28552082,0.06913533,-0.059251204
1910131310005,MHSKOM19027,Pendidikan Komputer,3.68,21,3.61,42,3.6,65,3.63,89,3.67,111,0.87437209,1.065093516,0.54941853,-0.088362523,0.493432926,0.133339032,0.588308046,0.416959805,0.646090664,0.20991855
1910131310009,MHSKOM19028,Pendidikan Komputer,0.93,21,1.61,37,2.99,21,2.89,29,2.96,31,-6.426672428,1.065093516,-5.205360542,-3.433515166,-1.439054838,-10.52768805,-1.743127612,-10.12024956,-1.509900321,-10.55687161
1910131310010,MHSKOM19029,Pendidikan Komputer,2.45,21,2.58,37,2.78,50,2.32,68,2.19,77,-2.391186004,1.065093516,-2.414292692,-3.433515166,-2.10433751,-3.501102019,-3.538963186,-3.271063475,-3.848087728,-4.365967269
1910131310011,MHSKOM19030,Pendidikan Komputer,2.45,21,2.47,39,2.51,51,2.31,59,2.32,66,-2.391186004,1.065093516,-2.730805541,-2.095454109,-2.959700947,-3.258805948,-3.570469074,-4.85164488,-3.453328815,-5.846400916
1910131320006,MHSKOM19031,Pendidikan Komputer,3.43,21,3.52,42,3.52,65,3.6,89,3.57,113,0.21064077,1.065093516,0.290453472,-0.088362523,0.239991908,0.133339032,0.493790384,0.416959805,0.342429962,0.479088304
1910131320007,MHSKOM19032,Pendidikan Komputer,3.18,21,3.34,42,3.36,63,3.39,84,3.46,107,-0.45309055,1.065093516,-0.227476644,-0.088362523,-0.266890129,-0.351253108,-0.167833249,-0.461140976,0.008403189,-0.328420958
1910131320008,MHSKOM19033,Pendidikan Komputer,3.76,21,3.73,42,3.71,65,3.74,89,3.74,113,1.086766112,1.065093516,0.894705275,-0.088362523,0.841914326,0.133339032,0.934872806,0.416959805,0.858653155,0.479088304
1910131320014,MHSKOM19034,Pendidikan Komputer,2.52,21,2.93,37,3.34,52,3.39,74,3.38,96,-2.205341234,1.065093516,-1.407206354,-3.433515166,-0.330250383,-3.016509878,-0.167833249,-2.217342538,-0.234525372,-1.808854605
1910118110002,MHSMTK19001,Pendidikan Matematika,3.96,21,3.89,44,3.8,67,3.82,91,3.75,113,1.617751168,1.065093516,1.355087601,1.249698535,1.127035471,0.617931172,1.186919904,0.768200117,0.889019225,0.479088304
1910118110003,MHSMTK19002,Pendidikan Matematika,3.7,21,3.76,44,3.55,66,3.52,89,3.47,112,0.927470595,1.065093516,0.981026961,1.249698535,0.335032289,0.375635102,0.241743286,0.416959805,0.038769259,0.344503427
1910118110009,MHSMTK19003,Pendidikan Matematika,3.94,21,3.97,44,3.93,68,3.94,91,3.94,114,1.564652662,1.065093516,1.585278763,1.249698535,1.538877126,0.860227242,1.564990551,0.768200117,1.465974559,0.613673181
1910118120001,MHSMTK19004,Pendidikan Matematika,3.25,21,3.39,44,3.38,66,3.36,89,3.36,110,-0.26724578,1.065093516,-0.083607168,1.249698535,-0.203529874,0.375635102,-0.26235091,0.416959805,-0.295257513,0.075333673
1910118120004,MHSMTK19005,Pendidikan Matematika,3.68,21,3.72,44,3.67,66,3.72,89,3.69,112,0.87437209,1.065093516,0.865931379,1.249698535,0.715193817,0.375635102,0.871861031,0.416959805,0.706822804,0.344503427
1910118120005,MHSMTK19006,Pendidikan Matematika,3.77,21,3.72,44,3.75,66,3.7,89,3.75,112,1.113315365,1.065093516,0.865931379,1.249698535,0.968634835,0.375635102,0.808849257,0.416959805,0.889019225,0.344503427
1910118120006,MHSMTK19007,Pendidikan Matematika,3.54,21,3.51,44,3.52,66,3.49,89,3.48,112,0.50268255,1.065093516,0.261679577,1.249698535,0.239991908,0.375635102,0.147225624,0.416959805,0.06913533,0.344503427
1910118120007,MHSMTK19008,Pendidikan Matematika,3.44,21,3.55,44,3.49,66,3.43,89,3.44,112,0.237190023,1.065093516,0.376775158,1.249698535,0.144951526,0.375635102,-0.041809699,0.416959805,-0.052328951,0.344503427
1910118120008,MHSMTK19009,Pendidikan Matematika,3.13,21,3.24,44,3.39,66,3.47,89,3.52,112,-0.585836814,1.065093516,-0.515215598,1.249698535,-0.171849747,0.375635102,0.08421385,0.416959805,0.190599611,0.344503427
1910118120010,MHSMTK19010,Pendidikan Matematika,3.79,21,3.67,44,3.56,67,3.57,90,3.6,116,1.16641387,1.065093516,0.722061903,1.249698535,0.366712417,0.617931172,0.399272722,0.592579961,0.433528172,0.882842936
1910118120011,MHSMTK19011,Pendidikan Matematika,3.13,21,3.05,44,3.18,66,3.25,89,3.32,112,-0.585836814,1.065093516,-1.06191961,1.249698535,-0.83713242,0.375635102,-0.60891567,0.416959805,-0.416721794,0.344503427
1910118120012,MHSMTK19012,Pendidikan Matematika,3.26,21,3.39,44,3.45,66,3.44,89,3.53,112,-0.240696528,1.065093516,-0.083607168,1.249698535,0.018231017,0.375635102,-0.010303812,0.416959805,0.220965681,0.344503427
1910118120013,MHSMTK19013,Pendidikan Matematika,3.94,21,3.84,44,3.83,67,3.85,90,3.87,114,1.564652662,1.065093516,1.211218124,1.249698535,1.222075853,0.617931172,1.281437566,0.592579961,1.253412068,0.613673181
1910118120014,MHSMTK19014,Pendidikan Matematika,3.76,21,3.37,44,3.21,67,3.24,89,3.34,111,1.086766112,1.065093516,-0.141154958,1.249698535,-0.742092038,0.617931172,-0.640421558,0.416959805,-0.355989653,0.20991855
1910118120015,MHSMTK19015,Pendidikan Matematika,3.87,21,3.8,44,3.79,68,3.81,91,3.83,114,1.378807893,1.065093516,1.096122542,1.249698535,1.095355344,0.860227242,1.155414017,0.768200117,1.131947787,0.613673181
1910118120016,MHSMTK19016,Pendidikan Matematika,3.08,21,3.17,44,3.09,66,3.06,87,3.06,108,-0.718583078,1.065093516,-0.716632866,1.249698535,-1.122253565,0.375635102,-1.207527528,0.065719492,-1.206239619,-0.193836081
1910118120017,MHSMTK19017,Pendidikan Matematika,2.68,21,2.55,41,2.58,59,2.69,79,2.86,102,-1.780553189,1.065093516,-2.500614378,-0.757393051,-2.737940056,-1.320437388,-2.373245357,-1.339241757,-1.813561023,-1.001345343
1910118120018,MHSMTK19018,Pendidikan Matematika,3.68,21,3.72,44,3.69,66,3.71,89,3.75,112,0.87437209,1.065093516,0.865931379,1.249698535,0.778554071,0.375635102,0.840355144,0.416959805,0.889019225,0.344503427
1910118210011,MHSMTK19021,Pendidikan Matematika,2.92,21,3.03,41,3.02,63,3.1,85,3.14,108,-1.143371123,1.065093516,-1.119467401,-0.757393051,-1.344014456,-0.351253108,-1.081503979,-0.28552082,-0.963311058,-0.193836081
1910118210015,MHSMTK19022,Pendidikan Matematika,3.13,21,2.95,44,3.07,66,3.19,89,3.17,112,-0.585836814,1.065093516,-1.349658564,1.249698535,-1.18561382,0.375635102,-0.797950994,0.416959805,-0.872212847,0.344503427
1910118210021,MHSMTK19023,Pendidikan Matematika,3.32,21,3.25,44,3.18,66,3.2,89,3.25,112,-0.081401011,1.065093516,-0.486441703,1.249698535,-0.83713242,0.375635102,-0.766445107,0.416959805,-0.629284285,0.344503427
1910118210026,MHSMTK19024,Pendidikan Matematika,2.94,21,3.05,41,2.95,63,3.01,85,3.09,108,-1.090272617,1.065093516,-1.06191961,-0.757393051,-1.565775347,-0.351253108,-1.365056965,-0.28552082,-1.115141409,-0.193836081
1910118220001,MHSMTK19025,Pendidikan Matematika,3.85,21,3.76,44,3.62,67,3.63,90,3.72,114,1.325709387,1.065093516,0.981026961,1.249698535,0.55679318,0.617931172,0.588308046,0.592579961,0.797921015,0.613673181
1910118220002,MHSMTK19026,Pendidikan Matematika,3.37,21,3.43,44,3.48,66,3.47,89,3.5,112,0.051345253,1.065093516,0.031488414,1.249698535,0.113271398,0.375635102,0.08421385,0.416959805,0.12986747,0.344503427
1910118220003,MHSMTK19027,Pendidikan Matematika,3.32,21,3.4,44,3.47,66,3.46,89,3.53,112,-0.081401011,1.065093516,-0.054833272,1.249698535,0.081591271,0.375635102,0.052707962,0.416959805,0.220965681,0.344503427
1910118220004,MHSMTK19028,Pendidikan Matematika,3.63,21,3.64,44,3.6,67,3.68,90,3.7,114,0.741625826,1.065093516,0.635740216,1.249698535,0.493432926,0.617931172,0.745837482,0.592579961,0.737188874,0.613673181
1910118220007,MHSMTK19029,Pendidikan Matematika,3.69,21,3.62,44,3.42,66,3.29,89,3.21,110,0.900921342,1.065093516,0.578192426,1.249698535,-0.076809365,0.375635102,-0.482892121,0.416959805,-0.750748566,0.075333673
1910118220008,MHSMTK19030,Pendidikan Matematika,3.29,21,3.38,44,3.38,67,3.34,90,3.39,108,-0.161048769,1.065093516,-0.112381063,1.249698535,-0.203529874,0.617931172,-0.325362685,0.592579961,-0.204159302,-0.193836081
1910118220009,MHSMTK19031,Pendidikan Matematika,2.82,21,3.03,41,3.13,61,3.19,84,3.25,105,-1.40886365,1.065093516,-1.119467401,-0.757393051,-0.995533056,-0.835845248,-0.797950994,-0.461140976,-0.629284285,-0.597590712
